_posError:0.000834232	_velError:-0.017862	mass:6.32785	_posBody:0.319166	_velBody:0.017862
_posError:-0.0158754	_velError:2.51628e-05	mass:-0.00129453	_posBody:0.335875	_velBody:-2.51628e-05
_posError:-0.0157092	_velError:0.0300409	mass:-0.0385922	_posBody:0.335709	_velBody:-0.0300409
_posError:-0.0153348	_velError:0.062634	mass:-0.0452222	_posBody:0.335335	_velBody:-0.062634
_posError:-0.0146638	_velError:0.0929754	mass:-0.0492854	_posBody:0.334664	_velBody:-0.0929754
_posError:-0.0137136	_velError:0.121365	mass:-0.0505959	_posBody:0.333714	_velBody:-0.121365
_posError:-0.0125118	_velError:0.147638	mass:-0.049122	_posBody:0.332512	_velBody:-0.147638
_posError:-0.0111766	_velError:0.17007	mass:-0.0456039	_posBody:0.331177	_velBody:-0.17007
_posError:-0.0096395	_velError:0.185876	mass:-0.0401819	_posBody:0.329639	_velBody:-0.185876
_posError:-0.00794187	_velError:0.198988	mass:-0.0323873	_posBody:0.327942	_velBody:-0.198988
_posError:-0.00611331	_velError:0.210171	mass:-0.0221793	_posBody:0.326113	_velBody:-0.210171
_posError:-0.0043147	_velError:0.219153	mass:-0.0104077	_posBody:0.324315	_velBody:-0.219153
_posError:-0.00250734	_velError:0.226529	mass:0.00315427	_posBody:0.322507	_velBody:-0.226529
_posError:-0.000755343	_velError:0.232067	mass:0.0180652	_posBody:0.320755	_velBody:-0.232067
_posError:0.0011129	_velError:0.236794	mass:0.0353156	_posBody:0.318887	_velBody:-0.236794
_posError:0.00298496	_velError:0.240889	mass:0.0544312	_posBody:0.317015	_velBody:-0.240889
_posError:0.00484752	_velError:0.243926	mass:0.0752379	_posBody:0.315152	_velBody:-0.243926
_posError:0.00678055	_velError:0.246424	mass:0.098218	_posBody:0.313219	_velBody:-0.246424
_posError:0.00876557	_velError:0.24828	mass:0.123307	_posBody:0.311234	_velBody:-0.24828
_posError:0.0107235	_velError:0.249661	mass:0.150146	_posBody:0.309276	_velBody:-0.249661
_posError:0.0126443	_velError:0.250151	mass:0.178552	_posBody:0.307356	_velBody:-0.250151
_posError:0.0146839	_velError:0.250046	mass:0.20937	_posBody:0.305316	_velBody:-0.250046
_posError:0.0166944	_velError:0.249298	mass:0.241883	_posBody:0.303306	_velBody:-0.249298
_posError:0.0186622	_velError:0.24793	mass:0.275968	_posBody:0.301338	_velBody:-0.24793
_posError:0.020613	_velError:0.245926	mass:0.31171	_posBody:0.299387	_velBody:-0.245926
_posError:0.0224462	_velError:0.24342	mass:0.348585	_posBody:0.297554	_velBody:-0.24342
_posError:0.0243027	_velError:0.240561	mass:0.387142	_posBody:0.295697	_velBody:-0.240561
_posError:0.0261632	_velError:0.236105	mass:0.427179	_posBody:0.293837	_velBody:-0.236105
_posError:0.0280055	_velError:0.231539	mass:0.468757	_posBody:0.291995	_velBody:-0.231539
_posError:0.029804	_velError:0.22803	mass:0.511917	_posBody:0.290196	_velBody:-0.22803
_posError:0.031556	_velError:0.225538	mass:0.556626	_posBody:0.288444	_velBody:-0.225538
_posError:0.0332817	_velError:0.223112	mass:0.602819	_posBody:0.286718	_velBody:-0.223112
_posError:0.0349155	_velError:0.220215	mass:0.650035	_posBody:0.285084	_velBody:-0.220215
_posError:0.0365316	_velError:0.216653	mass:0.698508	_posBody:0.283468	_velBody:-0.216653
_posError:0.0380986	_velError:0.212447	mass:0.748064	_posBody:0.281901	_velBody:-0.212447
_posError:0.0396898	_velError:0.207363	mass:0.798976	_posBody:0.28031	_velBody:-0.207363
_posError:0.0412668	_velError:0.201468	mass:0.851047	_posBody:0.278733	_velBody:-0.201468
_posError:0.0428168	_velError:0.194895	mass:0.904198	_posBody:0.277183	_velBody:-0.194895
_posError:0.0442658	_velError:0.188285	mass:0.958099	_posBody:0.275734	_velBody:-0.188285
_posError:0.0456545	_velError:0.181362	mass:1.01281	_posBody:0.274345	_velBody:-0.181362
_posError:0.0470015	_velError:0.173963	mass:1.06834	_posBody:0.272998	_velBody:-0.173963
_posError:0.0482972	_velError:0.166231	mass:1.12461	_posBody:0.271703	_velBody:-0.166231
_posError:0.0495562	_velError:0.157984	mass:1.18161	_posBody:0.270444	_velBody:-0.157984
_posError:0.0506839	_velError:0.150106	mass:1.23893	_posBody:0.269316	_velBody:-0.150106
_posError:0.0516981	_velError:0.142852	mass:1.29657	_posBody:0.268302	_velBody:-0.142852
_posError:0.0525837	_velError:0.136541	mass:1.35445	_posBody:0.267416	_velBody:-0.136541
_posError:0.0535695	_velError:0.128093	mass:1.41317	_posBody:0.26643	_velBody:-0.128093
_posError:0.0544623	_velError:0.118683	mass:1.4719	_posBody:0.265538	_velBody:-0.118683
_posError:0.0552899	_velError:0.108795	mass:1.53077	_posBody:0.26471	_velBody:-0.108795
_posError:0.0560001	_velError:0.0997141	mass:1.58965	_posBody:0.264	_velBody:-0.0997141
_posError:0.0566682	_velError:0.0909704	mass:1.64876	_posBody:0.263332	_velBody:-0.0909704
_posError:0.0572539	_velError:0.0819986	mass:1.70776	_posBody:0.262746	_velBody:-0.0819986
_posError:0.0577665	_velError:0.0735289	mass:1.76674	_posBody:0.262234	_velBody:-0.0735289
_posError:0.0582343	_velError:0.0643092	mass:1.82558	_posBody:0.261766	_velBody:-0.0643092
_posError:0.0586267	_velError:0.0547646	mass:1.88414	_posBody:0.261373	_velBody:-0.0547646
_posError:0.0589404	_velError:0.0457033	mass:1.94243	_posBody:0.26106	_velBody:-0.0457033
_posError:0.0591847	_velError:0.0375049	mass:2.00052	_posBody:0.260815	_velBody:-0.0375049
_posError:0.0593729	_velError:0.0291831	mass:2.05828	_posBody:0.260627	_velBody:-0.0291831
_posError:0.059498	_velError:0.0207155	mass:2.11559	_posBody:0.260502	_velBody:-0.0207155
_posError:0.0595581	_velError:0.0124343	mass:2.17245	_posBody:0.260442	_velBody:-0.0124343
_posError:0.0595554	_velError:0.00424213	mass:2.22879	_posBody:0.260445	_velBody:-0.00424213
_posError:0.0594917	_velError:-0.00367233	mass:2.2846	_posBody:0.260508	_velBody:0.00367233
_posError:0.0593707	_velError:-0.0112248	mass:2.33985	_posBody:0.260629	_velBody:0.0112248
_posError:0.0592056	_velError:-0.0180739	mass:2.39464	_posBody:0.260794	_velBody:0.0180739
_posError:0.0589908	_velError:-0.0246929	mass:2.44883	_posBody:0.261009	_velBody:0.0246929
_posError:0.0587278	_velError:-0.0312048	mass:2.50237	_posBody:0.261272	_velBody:0.0312048
_posError:0.0584181	_velError:-0.0375484	mass:2.55523	_posBody:0.261582	_velBody:0.0375484
_posError:0.0580451	_velError:-0.0440247	mass:2.60724	_posBody:0.261955	_velBody:0.0440247
_posError:0.0576184	_velError:-0.0504058	mass:2.65842	_posBody:0.262382	_velBody:0.0504058
_posError:0.0571694	_velError:-0.0560657	mass:2.70899	_posBody:0.262831	_velBody:0.0560657
_posError:0.0567052	_velError:-0.0609219	mass:2.75901	_posBody:0.263295	_velBody:0.0609219
_posError:0.0562078	_velError:-0.0655338	mass:2.80831	_posBody:0.263792	_velBody:0.0655338
_posError:0.0556499	_velError:-0.0704273	mass:2.85661	_posBody:0.26435	_velBody:0.0704273
_posError:0.0550348	_velError:-0.0753622	mass:2.9039	_posBody:0.264965	_velBody:0.0753622
_posError:0.0543745	_velError:-0.0800911	mass:2.95024	_posBody:0.265626	_velBody:0.0800911
_posError:0.0537014	_velError:-0.0842566	mass:2.99583	_posBody:0.266299	_velBody:0.0842566
_posError:0.053021	_velError:-0.0878628	mass:3.04069	_posBody:0.266979	_velBody:0.0878628
_posError:0.0523539	_velError:-0.090907	mass:3.08496	_posBody:0.267646	_velBody:0.090907
_posError:0.0516764	_velError:-0.0936329	mass:3.12849	_posBody:0.268324	_velBody:0.0936329
_posError:0.0509678	_velError:-0.0962996	mass:3.17114	_posBody:0.269032	_velBody:0.0962996
_posError:0.0502056	_velError:-0.0990171	mass:3.21272	_posBody:0.269794	_velBody:0.0990171
_posError:0.0494077	_velError:-0.10161	mass:3.25331	_posBody:0.270592	_velBody:0.10161
_posError:0.048578	_velError:-0.10397	mass:3.29292	_posBody:0.271422	_velBody:0.10397
_posError:0.0477496	_velError:-0.105957	mass:3.33173	_posBody:0.27225	_velBody:0.105957
_posError:0.0469714	_velError:-0.107496	mass:3.37003	_posBody:0.273029	_velBody:0.107496
_posError:0.0461462	_velError:-0.108846	mass:3.40732	_posBody:0.273854	_velBody:0.108846
_posError:0.0452964	_velError:-0.110034	mass:3.44365	_posBody:0.274704	_velBody:0.110034
_posError:0.0444151	_velError:-0.111002	mass:3.479	_posBody:0.275585	_velBody:0.111002
_posError:0.0435679	_velError:-0.111696	mass:3.5137	_posBody:0.276432	_velBody:0.111696
_posError:0.0427691	_velError:-0.112138	mass:3.54788	_posBody:0.277231	_velBody:0.112138
_posError:0.04196	_velError:-0.112404	mass:3.58123	_posBody:0.27804	_velBody:0.112404
_posError:0.0411439	_velError:-0.11248	mass:3.61381	_posBody:0.278856	_velBody:0.11248
_posError:0.0403092	_velError:-0.112399	mass:3.64551	_posBody:0.279691	_velBody:0.112399
_posError:0.0395445	_velError:-0.112171	mass:3.67682	_posBody:0.280456	_velBody:0.112171
_posError:0.0388216	_velError:-0.111871	mass:3.70764	_posBody:0.281178	_velBody:0.111871
_posError:0.0380623	_velError:-0.11142	mass:3.7376	_posBody:0.281938	_velBody:0.11142
_posError:0.0372748	_velError:-0.110764	mass:3.76672	_posBody:0.282725	_velBody:0.110764
_posError:0.0364706	_velError:-0.109911	mass:3.79505	_posBody:0.283529	_velBody:0.109911
_posError:0.0356609	_velError:-0.108906	mass:3.82262	_posBody:0.284339	_velBody:0.108906
_posError:0.0348546	_velError:-0.107739	mass:3.84949	_posBody:0.285145	_velBody:0.107739
_posError:0.0340984	_velError:-0.106563	mass:3.87589	_posBody:0.285902	_velBody:0.106563
_posError:0.0333997	_velError:-0.105471	mass:3.90189	_posBody:0.2866	_velBody:0.105471
_posError:0.032764	_velError:-0.104563	mass:3.92758	_posBody:0.287236	_velBody:0.104563
_posError:0.0320718	_velError:-0.103265	mass:3.95243	_posBody:0.287928	_velBody:0.103265
_posError:0.0313635	_velError:-0.101714	mass:3.97661	_posBody:0.288637	_velBody:0.101714
_posError:0.0306699	_velError:-0.10002	mass:4.00025	_posBody:0.28933	_velBody:0.10002
_posError:0.0299607	_velError:-0.098249	mass:4.0232	_posBody:0.290039	_velBody:0.098249
_posError:0.0292659	_velError:-0.0965177	mass:4.04561	_posBody:0.290734	_velBody:0.0965177
_posError:0.0285747	_velError:-0.0945392	mass:4.06746	_posBody:0.291425	_velBody:0.0945392
_posError:0.0278831	_velError:-0.0924392	mass:4.08872	_posBody:0.292117	_velBody:0.0924392
_posError:0.0271859	_velError:-0.0901916	mass:4.10938	_posBody:0.292814	_velBody:0.0901916
_posError:0.0265026	_velError:-0.0878702	mass:4.12952	_posBody:0.293497	_velBody:0.0878702
_posError:0.0258359	_velError:-0.0855101	mass:4.14917	_posBody:0.294164	_velBody:0.0855101
_posError:0.0252202	_velError:-0.0833758	mass:4.16849	_posBody:0.29478	_velBody:0.0833758
_posError:0.0246149	_velError:-0.0811626	mass:4.18734	_posBody:0.295385	_velBody:0.0811626
_posError:0.0240051	_velError:-0.0788213	mass:4.20568	_posBody:0.295995	_velBody:0.0788213
_posError:0.0234287	_velError:-0.0764723	mass:4.22369	_posBody:0.296571	_velBody:0.0764723
_posError:0.0228534	_velError:-0.0740068	mass:4.24124	_posBody:0.297147	_velBody:0.0740068
_posError:0.0223163	_velError:-0.0715795	mass:4.2585	_posBody:0.297684	_velBody:0.0715795
_posError:0.0217923	_velError:-0.0693666	mass:4.27536	_posBody:0.298208	_velBody:0.0693666
_posError:0.0212944	_velError:-0.0670688	mass:4.29194	_posBody:0.298706	_velBody:0.0670688
_posError:0.0208058	_velError:-0.0646767	mass:4.30817	_posBody:0.299194	_velBody:0.0646767
_posError:0.0203339	_velError:-0.0622668	mass:4.3241	_posBody:0.299666	_velBody:0.0622668
_posError:0.0198809	_velError:-0.0598788	mass:4.33975	_posBody:0.300119	_velBody:0.0598788
_posError:0.0194558	_velError:-0.0576002	mass:4.35516	_posBody:0.300544	_velBody:0.0576002
_posError:0.0190751	_velError:-0.0556057	mass:4.37043	_posBody:0.300925	_velBody:0.0556057
_posError:0.0187004	_velError:-0.0536445	mass:4.38542	_posBody:0.3013	_velBody:0.0536445
_posError:0.0183494	_velError:-0.0516828	mass:4.40023	_posBody:0.301651	_velBody:0.0516828
_posError:0.018009	_velError:-0.0497002	mass:4.41483	_posBody:0.301991	_velBody:0.0497002
_posError:0.01768	_velError:-0.0476864	mass:4.42923	_posBody:0.30232	_velBody:0.0476864
_posError:0.0173666	_velError:-0.0456979	mass:4.44345	_posBody:0.302633	_velBody:0.0456979
_posError:0.0170919	_velError:-0.0440751	mass:4.45758	_posBody:0.302908	_velBody:0.0440751
_posError:0.0168074	_velError:-0.0422381	mass:4.47148	_posBody:0.303193	_velBody:0.0422381
